ID,DATE,DAY,HOUR,CODINT,SEXINT,MODE,DUR,PHASE20,PHASE2,NUTS1,REGION,CPRO,CMUN,MUNICIPALITY,HABT,HABT5,P26,P01,P02A,P02B,P02C,P02D,P02E,P03,P04,P05,P06,P07,P07B,P07Ctx,P07C1,P07C2,P07C3,P07C4,P07D1,P07D2,P07D3,P07D4,P07D5,P07D6,P08,P09,P09B,VP09B,P10tx,P10_1,P10_2,P10_3,P10_4,P10B,P11A,P11B,P11C,P11D,P11E,P12,P12Btx,P12B_1,P12B_2,P12B_3,P12B_4,P13,P13B,P13C,P14,P15,P16,P16Btx,P16B_1,P16B_2,P16B_3,P16B_4,P17,P17B,P17C,P18,P19,P19B,P20,P20B,P21A,P21B,P21C,P21D,P22,P23,P24tx,P24,P25,P27,P27B,P27C,P28,P28_1,P28_2,P28_3,P28_4,P28B,P29,WEIGHT20,WEIGHT2,WEIGHT
13463,08 Mar 19,08 Mar 19,12,Eva,Administered by female interviewer,CATI,17.3,12,March 8th or after,Comunidad de Madrid,MADRID,Madrid,28079,Madrid,Municipalities >=10K pop.,">100,000 pop.",28000,Not at all,Everyday or almost everyday (5-7),1 or 2 days/weekends,Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),7,Quite,Voting in elections,Little,"No, I didn't know anything",, ,,,,,,,,,,,Quite necessary,Rather positive,Hope,Ascedent categories,DELITOS CONTRA LA LIBERTAD SEXUAL DE LA MUJER SEAN PAGADOS,Gender crimes,,,,Quite capable,Disagree,Disagree,Agree,Agree,Disagree,Yes,HOMENAJE A UNA MUJER Q ES SU MADRE,Celebrar el día,,,,No,Yes,,No,No,No, ,,,,,Yes,Has no sympathy whatsoever,No,5,Yes,PP,Cs Ciudadanos,,1-2 days a week/weekends,Yes,Yes,Yes,Woman,78,10,Unpaid domestic work,"University graduate (Diploma, Bachelor, Degree, Master, PhD)",No partner,,,2,Yes,Yes,No,No,Only daughter/s,"Yes, call him/her",1.105263157894552,1.457142857133711,1.382978723405372
13490,12 Mar 19,12 Mar 19,17,David,Administered by male interviewer,CATI,14.7,16,March 8th or after,"Este (Cataluña, Comunidad Valenciana, Baleares)",BALEARES,Balears (Illes),7040,Palma,Municipalities >=10K pop.,">100,000 pop.",07005,Quite,Everyday or almost everyday (5-7),1 or 2 days/weekends,3 or 4 days (quite a lot),1 or 2 days/weekends,Less (almost never),7,NA,DK,NA,"Yes, quite a lot",Quite,5,Radio,,,,Very often,Very often,Very often,Very often,No,No,Not very necessary,No feelings,,,99,NA,,,,Very capable,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Agree,No, ,,,,,No,Yes,,Can't remember,Can't remember,No, ,,,,,Yes,8,No,5,Yes,El Pi-Proposta per les Illes,DK,DK,Never,,,,Man,46,1,Working full time,"COU, BUP, Higher Baccalaurate",Yes,It is fine as it is,Woman,4,Yes,No,No,Yes,Both (sons and daughters),No,.9090909090907573,.8296943231388918,.8429423459242716
13498,04 Mar 19,04 Mar 19,19,María,Administered by female interviewer,CATI,13.3,8,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Huelva,21041,Huelva,Municipalities >=10K pop.,">100,000 pop.",21002,Quite,Everyday or almost everyday (5-7),1 or 2 days/weekends,Never,1 or 2 days/weekends,1 or 2 days/weekends,7,Quite,Take to the strees to demonstrate,Quite,"Yes, very much",Hardly,"PORT OTRAS PERSONAS, , , 1, 2",Personal conversations,TV,Social networks,,Quite,Quite,Very often,Very often,No,No,Very necessary,Rather positive,Hope,Descendent categories,LA IGUALDAD,Equality in general,,,,Very capable,Strongly disagree,Strongly agree,Agree,Agree,Agree,No, ,,,,,No,No,,No,Yes,No, ,,,,,No,,,4,Was not old enough to vote,Not in electoral census,Cs Ciudadanos,,Less frequently,Yes,No,No,Man,20,9,Student,"COU, BUP, Higher Baccalaurate","Has a partner, but does not live with him/her",,,1,No,No,No,No,,"Yes, call him/her",.7857142857141546,.9645390070893632,.9722222222220128
13499,11 Mar 19,11 Mar 19,11,Daniel,Administered by male interviewer,CATI,11.7,15,March 8th or after,"Centro (Castilla y León, Castilla-La Mancha, Extremadura)",CASTILLA-LA MANCHA,Ciudad Real,13011,Almadén,Municipalities <10K pop.,"5,000-9,999 pop.",13400,Hardly,Everyday or almost everyday (5-7),3 or 4 days (quite a lot),Never,1 or 2 days/weekends,Everyday or almost everyday (5-7),8,Hardly,Both are useful,Little,"Yes, quite a lot",Hardly,"1, 2",TV,Social networks,,,Little,Not at all,Little,Little,No,No,Quite necessary,Rather positive,Hope,Descendent categories,TODAS,ALL,,,,Quite capable,Agree,Strongly agree,Agree,Agree,Agree,Yes,1,IWD demonstration,,,,No,No,,Yes,Yes,No, ,,,,,Yes,6,No,8,Yes,PP,PP,,Every or almost every day,Yes,Yes,Yes,Woman,48,"8, 10,",Unemployed,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,It is fine as it is,Man,"2, 3",Yes,Yes,Yes,No,Both (sons and daughters),"Yes, call him/her",.9499999999998413,.8947368420996474,.9266666666664669
13501,10 Mar 19,10 Mar 19,13,Juana,Administered by female interviewer,CATI,13.7,14,March 8th or after,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Málaga,29015,Antequera,Municipalities >=10K pop.,"20,000-99,999 pop.",29230,Quite,Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),Less (almost never),3 or 4 days (quite a lot),1 or 2 days/weekends,5,Quite,Take to the strees to demonstrate,Quite,"Yes, quite a lot",Quite,3,Personal conversations,,,,Quite,Quite,Very often,Very often,Yes,,Quite necessary,Rather positive,Hope,Ascedent categories,IGUALDAD,Equality in general,,,,Quite capable,Agree,Agree,Agree,Strongly agree,Agree,Yes,"7, 9",Facilitating the participation of others,Participation in awareness-raising activities IWD,,,No,No,,Can't remember,Yes,No, ,,,,,No,,,5,Yes,NA,NA,NA,Never,,,,Man,52,1,Working full time,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,It is fine as it is,Woman,"2, 3",Yes,Yes,Yes,No,Both (sons and daughters),"Yes, call him/her",.7692307692306408,.8296943231388918,.8429423459242716
13523,12 Mar 19,12 Mar 19,12,Eva,Administered by female interviewer,CATI,9.5,16,March 8th or after,"Este (Cataluña, Comunidad Valenciana, Baleares)",CATALUÑA,Barcelona,8187,Sabadell,Municipalities >=10K pop.,">100,000 pop.",08206,Very,Everyday or almost everyday (5-7),Never,Everyday or almost everyday (5-7),1 or 2 days/weekends,Less (almost never),0 Completely dissatisfied,Very,Voting in elections,Very capable,"Yes, very much",Quite,1,TV,,,,Quite,Quite,Doesn't have social networks,,No,No,Quite necessary,Rather positive,Hope,Descendent categories,IGUALDAD,Equality in general,,,,Quite capable,Agree,Disagree,Agree,Agree,Agree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,8,No,NA,Yes,Unidos Podemos,VOX,,Have no networks,,,,Man,64,4,Retired or pensioner (previously worked),"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,It is fine as it is,Woman,2,Yes,Yes,No,No,Only daughter/s,"Yes, call him/her",.9473684210524733,1.005952380946121,.9973614775723444
13524,08 Mar 19,08 Mar 19,12,Eva,Administered by female interviewer,CATI,10.2,12,March 8th or after,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Granada,18127,Maracena,Municipalities >=10K pop.,"20,000-99,999 pop.",18200,Hardly,Everyday or almost everyday (5-7),1 or 2 days/weekends,Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),3 or 4 days (quite a lot),3,Quite,Both are useful,Not capable,"Yes, very much",No interest,"1, 3, 5",TV,Personal conversations,Radio,,Little,Little,Doesn't use social networks,,Yes,,Quite necessary,Rather positive,Pride,Ascedent categories,88,DK,,,,,Strongly disagree,Agree,Disagree,Agree,Agree,Maybe,88,DK,,,,No,Yes,,No,No,No, ,,,,,Yes,3,No,5,Yes,PSOE,PSOE,,Never,,,,Man,39,1,Working full time,"FP2, Higher Vocational Training, Conservatoire 10 years",Yes,Greater participation by me,Woman,4,Yes,No,No,Yes,Only son/s,"Yes, call him/her",.6666666666665553,.8296943231388918,.8429423459242716
13548,08 Mar 19,08 Mar 19,12,Alejandro,Administered by male interviewer,CATI,10.6,12,March 8th or after,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Sevilla,41042,Fuentes de Andalucía,Municipalities <10K pop.,"5,000-9,999 pop.",41420,Hardly,3 or 4 days (quite a lot),1 or 2 days/weekends,1 or 2 days/weekends,Never,Never,5,Quite,Take to the strees to demonstrate,Quite,"Yes, quite a lot",Hardly,"1, 5",TV,Radio,,,Quite,Very often,Very often,Very often,Yes,,Very necessary,Rather positive,Hope,Descendent categories,TODAS EN GENERAL,ALL,,,,Not very capable,Disagree,Agree,DK,Agree,Agree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,Fully sympathises,No,3,Yes,Unidos Podemos,DK,DK,Never,,,,Man,57,1,Working full time,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,It is fine as it is,Woman,2,Yes,Yes,No,No,Only daughter/s,"Yes, call him/her",.8999999999998497,1.005952380946121,.9973614775723444
13555,07 Mar 19,07 Mar 19,11,Tomas,Administered by male interviewer,CATI,14.2,11,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Granada,18145,Ogíjares,Municipalities >=10K pop.,"10,000-19,999 pop.",18151,Very,Everyday or almost everyday (5-7),Never,Never,Never,1 or 2 days/weekends,7,Quite,Voting in elections,Very capable,"No, I didn't know anything",, ,,,,,,,,,,,Quite necessary,Rather positive,Solidarity,Ascedent categories,IGUALDAD EN GENERAL,Equality in general,,,,Very capable,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Maybe,1,IWD demonstration,,,,No,No,,No,No,"Yes, in one",10,"Other issues not linked to gender inequality (labour, neighbourhood)",,,,Yes,Has no sympathy whatsoever,No,DK,Yes,PSOE,DK,DK,Have no networks,,,,Woman,64,10,Unpaid domestic work,Primary school (or has attended school for 5 years or more),Yes,Greater participation of my partner,Man,2,Yes,Yes,No,No,Only daughter/s,"Yes, call him/her",.9545454545452952,1.322751322743256,1.382978723405372
13556,08 Mar 19,08 Mar 19,17,Eva,Administered by female interviewer,CATI,10,12,March 8th or after,"Este (Cataluña, Comunidad Valenciana, Baleares)",CATALUÑA,Barcelona,8124,Mollet del Vallès,Municipalities >=10K pop.,"20,000-99,999 pop.",08100,Very,1 or 2 days/weekends,Never,1 or 2 days/weekends,3 or 4 days (quite a lot),Less (almost never),2,Quite,Take to the strees to demonstrate,Very capable,"Yes, quite a lot",Quite,1,TV,,,,Not at all,Quite,Not at all,Not at all,Yes,,Very necessary,Rather positive,Solidarity,Ascedent categories,"MAYOR CUIDADO A LAS MUJERES, QUE FINALICE EL MALTRATO A LAS MUJERES Y NIÑAS",Other,Gender-based violence,,,Quite capable,Agree,Strongly disagree,Agree,Agree,Agree,Would have liked to,1,IWD demonstration,,,,No,Yes,,No,No,No, ,,,,,No,,,8,Yes,DK,DK,Will abstain,3-4 days a week,Yes,Yes,Yes,Woman,60,"1, 11, DE BAJA",Working full time,"COU, BUP, Higher Baccalaurate",Yes,Greater participation of my partner,Man,1,No,No,No,No,,"Yes, call him/her",1.105263157894552,1.457142857133711,1.382978723405372
13582,07 Mar 19,07 Mar 19,18,Victoria,Administered by female interviewer,CATI,17.7,11,Before March 8th,"Centro (Castilla y León, Castilla-La Mancha, Extremadura)",CASTILLA-LEON,Burgos,9059,Burgos,Municipalities >=10K pop.,">100,000 pop.",09007,Quite,Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),1 or 2 days/weekends,Less (almost never),5,Very,None are useful,Very capable,"Yes, quite a lot",Hardly,"1, 2, 5",TV,Social networks,Radio,,Little,Little,Little,Little,Yes,,Quite necessary,Rather positive,Solidarity,Ascedent categories,IGUALDAD EN TODOS LOS SENTIDOS,Equality in general,,,,Quite capable,Agree,Strongly agree,Strongly agree,Agree,Agree,Yes,1,IWD demonstration,,,,No,Yes,,No,No,No, ,,,,,Yes,6,No,4,Yes,PSOE,DK,DK,Less frequently,Yes,No,No,Woman,57,4,Retired or pensioner (previously worked),"FP2, Higher Vocational Training, Conservatoire 10 years",Yes,It is fine as it is,Man,3,Yes,No,Yes,No,Only son/s,"Yes, call him/her",.9545454545452952,1.322751322743256,1.382978723405372
13591,08 Mar 19,08 Mar 19,10,María,Administered by female interviewer,CATI,10.4,12,March 8th or after,"Este (Cataluña, Comunidad Valenciana, Baleares)",CATALUÑA,Barcelona,8266,Cerdanyola del Vallès,Municipalities >=10K pop.,"20,000-99,999 pop.",08290,Hardly,Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),3 or 4 days (quite a lot),1,Quite,Take to the strees to demonstrate,Not capable,"Yes, quite a lot",Hardly,"1, 6",TV,Newspapers,,,Little,Little,Little,Little,Yes,,Very necessary,Rather positive,Hope,Descendent categories,LA IGUALDAD EN TODOS LOS ASPECTOS,Equality in general,,,,Quite capable,Strongly disagree,Agree,Agree,Strongly agree,Agree,Maybe,88,DK,,,,No,Yes,,Yes,No,"Yes, in two or more",9,"Independentists (Catalonia, in favour of political prisoners)",,,,Yes,9,Yes,2,Yes,ERC,DK,CUP,Every or almost every day,Yes,Yes,Yes,Man,51,1,Working full time,"FP2, Higher Vocational Training, Conservatoire 10 years",Yes,Greater participation of my partner,Woman,"3, 4",Yes,No,Yes,Yes,Both (sons and daughters),"Yes, call him/her",.6666666666665553,.8296943231388918,.8429423459242716
13618,03 Mar 19,03 Mar 19,20,Juana,Administered by female interviewer,CATI,11.1,7,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Huelva,21058,Puebla de Guzmán,Municipalities <10K pop.,<5k pop.,21550,Very,Everyday or almost everyday (5-7),3 or 4 days (quite a lot),Never,Less (almost never),1 or 2 days/weekends,8,DK,Voting in elections,Very capable,"No, I didn't know anything",, ,,,,,,,,,,,Very necessary,Rather positive,Hope,Descendent categories,88,DK,,,,,Disagree,Agree,Agree,Disagree,Disagree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,DK,No,9,Yes,PP,PP,,Have no networks,,,,Woman,76,5,Retired or pensioner (not previously worked),Primary school (or has attended school for 5 years or more),No partner,,,"2, 3",Yes,Yes,Yes,No,Both (sons and daughters),"Yes, call him/her",1.49999999999975,1.322751322743256,1.382978723405372
13626,10 Mar 19,10 Mar 19,13,María,Administered by female interviewer,CATI,9.9,14,March 8th or after,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Sevilla,41091,Sevilla,Municipalities >=10K pop.,">100,000 pop.",41015,NA,3 or 4 days (quite a lot),1 or 2 days/weekends,3 or 4 days (quite a lot),1 or 2 days/weekends,1 or 2 days/weekends,5,Hardly,Voting in elections,Little,"Yes, quite a lot",Hardly,"1, 2",TV,Social networks,,,Little,Little,Little,Very often,Yes,,Quite necessary,Rather positive,Hope,Descendent categories,88,DK,,,,,Disagree,Agree,Agree,Agree,Agree,Would have liked to,1,IWD demonstration,,,,No,No,,No,No,No, ,,,,,Yes,7,No,4,Yes,PSOE,Blank/Null,PSOE,1-2 days a week/weekends,Yes,No,No,Woman,22,"2, 9,",Working part-time,"FP2, Higher Vocational Training, Conservatoire 10 years","Has a partner, but does not live with him/her",,,1,No,No,No,No,,"Yes, call him/her",1.099999999999816,.9224137931758812,.9756097560973507
13638,10 Mar 19,10 Mar 19,13,Eva,Administered by female interviewer,CATI,9.4,14,March 8th or after,"Este (Cataluña, Comunidad Valenciana, Baleares)",CATALUÑA,Barcelona,8121,Mataró,Municipalities >=10K pop.,">100,000 pop.",08301,Hardly,Everyday or almost everyday (5-7),Never,3 or 4 days (quite a lot),Everyday or almost everyday (5-7),3 or 4 days (quite a lot),0 Completely dissatisfied,Very,Take to the strees to demonstrate,Very capable,"Yes, very much",Hardly,1,TV,,,,Very often,Very often,Quite,Very often,No,No,Quite necessary,Rather positive,Solidarity,Descendent categories,IGUALDAD ALBORAL,Labour equality,,,,Quite capable,Agree,Strongly agree,Agree,Disagree,Disagree,No, ,,,,,No,Yes,,No,No,"Yes, in two or more",9,"Independentists (Catalonia, in favour of political prisoners)",,,,Yes,8,No,Extreme left,Yes,ERC,ERC,,Never,,,,Man,46,"1, 11, BAJA",Working full time,"FP2, Higher Vocational Training, Conservatoire 10 years",Yes,It is fine as it is,Woman,4,Yes,No,No,Yes,Both (sons and daughters),"Yes, call him/her",.7692307692306408,.8296943231388918,.8429423459242716
13649,03 Mar 19,03 Mar 19,21,Juana,Administered by female interviewer,CATI,11.9,7,Before March 8th,"Este (Cataluña, Comunidad Valenciana, Baleares)",CATALUÑA,Barcelona,8019,Barcelona,Municipalities >=10K pop.,">100,000 pop.",08001,Quite,Less (almost never),Less (almost never),Never,Never,Less (almost never),8,Quite,Voting in elections,Quite,"No, I didn't know anything",, ,,,,,,,,,,,Very necessary,Rather positive,Indignation,Ascedent categories,88,DK,,,,,Agree,Disagree,Agree,Agree,Agree,Yes,1,IWD demonstration,,,,No,No,,No,No,No, ,,,,,No,,,3,Not eligible to vote (foreign),Not in electoral census,Unidos Podemos,,Never,,,,Woman,44,2,Working part-time,Primary school (or has attended school for 5 years or more),No partner,,,2,Yes,Yes,No,No,Both (sons and daughters),"Yes, call him/her",.759999999999873,.9543568464670731,.9266666666664669
13664,07 Mar 19,07 Mar 19,21,Luna,Administered by female interviewer,CATI,11.9,11,Before March 8th,"Este (Cataluña, Comunidad Valenciana, Baleares)",CATALUÑA,Barcelona,8019,Barcelona,Municipalities >=10K pop.,">100,000 pop.",08033,Quite,Everyday or almost everyday (5-7),Less (almost never),Never,Less (almost never),Less (almost never),8,Quite,Voting in elections,Very capable,"No, I didn't know anything",, ,,,,,,,,,,,Not very necessary,Rather positive,Hope,Ascedent categories,88,DK,,,,,Disagree,Disagree,Agree,Disagree,Disagree,No, ,,,,,No,Yes,,No,No,No, ,,,,,No,,,5,Not eligible to vote (foreign),Not in electoral census,DK,DK,Never,,,,Woman,33,"8, 10, TRABAJA POR HORAS EN CASA",Temporary (precarious) work,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,It is fine as it is,Man,4,Yes,No,No,Yes,Both (sons and daughters),"Yes, call him/her",.6874999999998852,1.023076923075037,.9756097560973507
13681,01 Mar 19,01 Mar 19,21,Autoadministrado CAWI,Self-administered,CAWI,6.3,5,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Huelva,21013,Bollullos Par del Condado,Municipalities >=10K pop.,"10,000-19,999 pop.",21710,Very,Everyday or almost everyday (5-7),Never,1 or 2 days/weekends,Never,Less (almost never),5,Quite,Voting in elections,Very capable,"Yes, quite a lot",Quite,TWITTER,Social networks,,,,Quite,Very often,Very often,Quite,No,No,Very necessary,Rather positive,Hope,Descendent categories,88,DK,,,,,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No, ,,,,,Yes,,Since approx. one year ago (since 2018 IWD),No,No,No, ,,,,,Yes,5,No,3,Did not want to vote,Abstained,Blank/Null,PSOE,Never,,,,Woman,44,1,Working full time,"FP2, Higher Vocational Training, Conservatoire 10 years",Yes,Greater participation by me,Man,4,Yes,No,No,Yes,Both (sons and daughters),"Yes, by SMS",.9047619047617537,.9543568464670731,.9266666666664669
13687,10 Mar 19,10 Mar 19,15,María,Administered by female interviewer,CATI,7.3,14,March 8th or after,"Noroeste (Galicia, Asturias, Cantabria)",ASTURIAS,Asturias,33024,Gijón,Municipalities >=10K pop.,">100,000 pop.",33211,Hardly,Everyday or almost everyday (5-7),1 or 2 days/weekends,Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),Completely satisfied,Hardly,Voting in elections,Not capable,"No, I didn't know anything",, ,,,,,,,,,,,Not at all necessary,Rather positive,NA,Ascedent categories,LA IGUALDAD SE SEXOS,Gender equality,,,,Very capable,Agree,Strongly agree,Agree,Disagree,Disagree,No, ,,,,,No,No,,No,No,No, ,,,,,Yes,5,No,8,Yes,PP,VOX,,Every or almost every day,Yes,Yes,No,Man,45,1,Working full time,"FP1, Intermediate Vocational Training",Yes,Greater participation by me,Woman,4,Yes,No,No,Yes,Only daughter/s,"Yes, call him/her",.7692307692306408,.8296943231388918,.8429423459242716
13705,11 Mar 19,11 Mar 19,17,Daniel,Administered by male interviewer,CATI,10.1,15,March 8th or after,"Noroeste (Galicia, Asturias, Cantabria)",ASTURIAS,Asturias,33011,Cangas del Narcea,Municipalities >=10K pop.,"10,000-19,999 pop.",33800,Very,Everyday or almost everyday (5-7),3 or 4 days (quite a lot),3 or 4 days (quite a lot),Less (almost never),Everyday or almost everyday (5-7),2,Quite,None are useful,Very capable,"No, I didn't know anything",, ,,,,,,,,,,,Not at all necessary,Rather negative,Displeasure,Ascedent categories,88,DK,,,,,DK,Disagree,Agree,Disagree,NA,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,DK,No,7,Yes,PP,DK,DK,Never,,,,Man,75,4,Retired or pensioner (previously worked),"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,It is fine as it is,Woman,3,Yes,No,Yes,No,Only son/s,"Yes, call him/her",.999999999999833,1.005952380946121,.9973614775723444
13708,06 Mar 19,06 Mar 19,13,Alejandro,Administered by male interviewer,CATI,9,10,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Jaén,23051,Jamilena,Municipalities <10K pop.,<5k pop.,23658,Very,Everyday or almost everyday (5-7),3 or 4 days (quite a lot),Less (almost never),Everyday or almost everyday (5-7),1 or 2 days/weekends,5,Not at all,Take to the strees to demonstrate,Very capable,"Yes, a little",Quite,1,TV,,,,Quite,Very often,Very often,Very often,No,No,DK,Rather positive,NA,Ascedent categories,88,DK,,,,,Agree,Agree,Agree,Disagree,Disagree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,7,No,5,"No, because he/she couldn't",Abstained,DK,DK,Less frequently,No,No,No,Man,53,6,"Looking for a job, has worked before","EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,It is fine as it is,Woman,2,Yes,Yes,No,No,Only son/s,"Yes, call him/her",.7999999999998665,.8540145985348291,.8429423459242716
13720,01 Mar 19,01 Mar 19,21,Autoadministrado CAWI,Self-administered,CAWI,8.6,5,Before March 8th,Comunidad de Madrid,MADRID,Madrid,28079,Madrid,Municipalities >=10K pop.,">100,000 pop.",28051,Not at all,3 or 4 days (quite a lot),Less (almost never),Never,Everyday or almost everyday (5-7),3 or 4 days (quite a lot),1,Very,Voting in elections,Little,"Yes, quite a lot",A lot,"SINDICATOS , REDES SOCIALES",Collectives or associations,Social networks,,,Quite,Quite,Very often,Very often,No,No,Quite necessary,Rather positive,Solidarity,Ascedent categories,IGUALDAD,Equality in general,,,,Quite capable,Disagree,Agree,Strongly agree,Agree,Agree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,8,No,3,Yes,Unidos Podemos,Unidos Podemos,,Less frequently,Yes,Yes,Yes,Man,43,1,Working full time,"COU, BUP, Higher Baccalaurate",Yes,It is fine as it is,Man,1,No,No,No,No,,"Yes, by SMS",.9090909090907573,.8540145985348291,.8429423459242716
13726,07 Mar 19,07 Mar 19,11,Tomas,Administered by male interviewer,CATI,16.4,11,Before March 8th,Comunidad de Madrid,MADRID,Madrid,28079,Madrid,Municipalities >=10K pop.,">100,000 pop.",28042,Hardly,Everyday or almost everyday (5-7),Never,Never,Everyday or almost everyday (5-7),3 or 4 days (quite a lot),8,Quite,Take to the strees to demonstrate,Quite,"Yes, quite a lot",A lot,"1, 6",TV,Newspapers,,,Little,Very often,Very often,Very often,No,No,Not at all necessary,Rather negative,Displeasure,Descendent categories,APLICAR LA CONSTITUCION,Other,,,,Quite capable,Agree,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,7,Yes,2,Yes,Cs Ciudadanos,Cs Ciudadanos,,Never,,,,Man,41,1,Working full time,"COU, BUP, Higher Baccalaurate",Yes,It is fine as it is,Woman,4,Yes,No,No,Yes,Both (sons and daughters),"Yes, call him/her",.7142857142855952,.8540145985348291,.8429423459242716
13732,08 Mar 19,08 Mar 19,11,María,Administered by female interviewer,CATI,10.1,12,March 8th or after,"Este (Cataluña, Comunidad Valenciana, Baleares)",BALEARES,Balears (Illes),7027,Inca,Municipalities >=10K pop.,"20,000-99,999 pop.",07300,Quite,Never,Never,1 or 2 days/weekends,3 or 4 days (quite a lot),3 or 4 days (quite a lot),0 Completely dissatisfied,Very,Take to the strees to demonstrate,Little,"Yes, a little",Quite,"MEDIOS ALTERNATIVOS, INTERNET",Other,Undefined internet,,,Little,Little,Little,Quite,Yes,,Quite necessary,Rather negative,Displeasure,Descendent categories,"TODAS, LA IGUALDAD",Equality in general,ALL,,,Not very capable,Disagree,Strongly agree,Strongly agree,Agree,Agree,No, ,,,,,Yes,,Since before,No,No,"Yes, in two or more",10,"Other issues not linked to gender inequality (labour, neighbourhood)",,,,Yes,5,Yes,Extreme left,Yes,Unidos Podemos,PACMA,,1-2 days a week/weekends,Yes,Yes,Yes,Man,30,1,Working full time,"FP1, Intermediate Vocational Training",No partner,,,1,No,No,No,No,,"Yes, call him/her",.8461538461537048,1.000000000023978,.9722222222220128
13744,02 Mar 19,02 Mar 19,11,Autoadministrado CAWI,Self-administered,CAWI,8.199999999999999,6,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Sevilla,41067,Olivares,Municipalities <10K pop.,"5,000-9,999 pop.",41804,Not at all,3 or 4 days (quite a lot),1 or 2 days/weekends,Less (almost never),Everyday or almost everyday (5-7),3 or 4 days (quite a lot),4,Hardly,Voting in elections,Very capable,"Yes, very much",Hardly,TELEDIARIOS,TV,,,,Little,Quite,Very often,Very often,Yes,,Not very necessary,Rather positive,Solidarity,Ascedent categories,"TRABAJO, CAACIDAD",Labour equality,Other,,,Quite capable,Strongly agree,Disagree,Agree,Disagree,Disagree,Maybe,88,DK,,,,No,Yes,,No,No,"Yes, in two or more",88,DK,,,,Yes,8,Yes,3,Yes,PSOE,PSOE,,Never,,,,Woman,43,10,Unpaid domestic work,"FP2, Higher Vocational Training, Conservatoire 10 years",Yes,It is fine as it is,Man,2,Yes,Yes,No,No,Only son/s,"Yes, by SMS",.7916666666665344,.9543568464670731,.9266666666664669
13745,07 Mar 19,07 Mar 19,11,Tomas,Administered by male interviewer,CATI,18.8,11,Before March 8th,"Este (Cataluña, Comunidad Valenciana, Baleares)",PAIS VALENCIANO,Alicante/Alacant,3065,Elche/Elx,Municipalities >=10K pop.,">100,000 pop.",03113,Very,1 or 2 days/weekends,Never,Never,Never,Never,6,Quite,Voting in elections,Very capable,"No, I didn't know anything",, ,,,,,,,,,,,Quite necessary,Rather positive,Hope,Descendent categories,"MALTRATO, VIOLENCIA SEXUAL",Gender-based violence,,,,Quite capable,Agree,Agree,Agree,Agree,Disagree,No, ,,,,,No,Yes,,No,No,No, ,,,,,No,,,DK,Did not want to vote,Abstained,DK,DK,Never,,,,Woman,60,8,Unemployed,No schooling (or less than 5 years of schooling),No partner,,,"2, 3",Yes,Yes,Yes,No,Only daughter/s,"Yes, call him/her",.9545454545452952,1.322751322743256,1.382978723405372
